,Accuracy,Precision,Recall,F1-Score,ROC_AUC
SVM,0.8360655737704918,0.7948717948717948,0.9393939393939394,0.8611111111111112,0.9025974025974026
KNN,0.819672131147541,0.7894736842105263,0.9090909090909091,0.8450704225352113,0.8809523809523809
Random_Forest,0.7868852459016393,0.7631578947368421,0.8787878787878788,0.8169014084507042,0.8933982683982684
Logistic_Regression,0.819672131147541,0.8235294117647058,0.8484848484848485,0.835820895522388,0.8690476190476191
XGBoost,0.7868852459016393,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.8593073593073592
Decision_Tree,0.7213114754098361,0.7352941176470589,0.7575757575757576,0.746268656716418,0.7180735930735931
Naive_Bayes,0.6229508196721312,0.8571428571428571,0.36363636363636365,0.5106382978723404,0.7824675324675325
